file_name,urdu_transcript,english_translation,language,language_probability
WhatsApp Ptt 2026-06-02 at 1.22.50 AM.ogg,اب یہ دیکھو نا لائجر انٹری نمبر فائیو ایجی ٹکٹ ایجی ٹکٹ وہ ہوگی ایجی ٹکٹ ہوگی اس کا اجنسی کا پریفیقس ایجی ام اجینٹ ہو گیا یہ جو بھی آپ نے کی لکھ دیا ایجی ام کا مطلب ایجی ام کیوں لکھ دیا ای اونہ چاہیے تھا یہ جو بھی آپ نے بہت شوٹ اپ فولم نے بنانی تھی یا ایجی ام کے کیا مطلب بارہ دیش آسیف کا مطلب ہے آسیف تو ہوگیا اس کا ایجانٹی کس نے اکٹر جس کو آپ نے بنانی دیا یا بندے کا نام جایڈوین اور بارہ کیا نمبر وان یہ تو ہوگیا,"Now let's take a look at LIGER ENTRY 5, it will be an easy ticket and signature of agency's Prefects, AGM Agent what you have written AGM AGM why you write A should be A what you have written 12- Asif he is actor who you have made the name of the actor and 12 number 1",ur,1
WhatsApp Ptt 2026-06-02 at 1.23.38 AM.ogg,ایجانسی کی آگلے کھوا ایزی ٹکٹ اس کے ساتھ کہیں یا اس کے لیچیں ہونا چاہیے ایجانسی کوڑ اگر ایجانسی کے نام تو ملتے جو تے کو سکنے لیکن کوڑ تو مارے ایسے چلیں گے جو بھی امینا رکھنے ہیں ای ٹی ای ٹی ٹی رو ٹن ٹی ٹو اگر کو دوسری ایجانسی ہوگی تو وہ ہوگی ٹی ٹی ٹی ٹی رو ٹی رو ٹی نکہ ایجانسی کے کوڑ ہوگی نا اور ایجانسی کا نام تو ہونے ہونے ایجانسی کا نام اور چیز ہے اور کوڑ پریفیقز ہم نے بنانے ہیں وہ اور چیز ہے اوری جو ایجانسی یہ بیسی کرلی آپ نے اس کا نام سوشنے کیا ہوگا یہ ایجانسی کا سٹاک ہوگا,"The agency's name is easy ticket, so the agency should have an agency code. The agency's name can be seen, but our codes will be the same. Whatever we have to keep, e t a 0 1 fit 2. If there is another agency, it will be p k a dash 0 3. There must be a code for the agency. The agency's name has to be different. The agency's name has to be different. The code we have to make is different. The actor has to be the staff of the agency.",ur,1
WhatsApp Ptt 2026-06-02 at 1.23.57 AM.ogg,دوسراہاں بھی اس نے اپروف کان سے ہونہا یہ تو انٹری نظر آرہی نا کہ پینڈنگ سٹیٹس تو اپروف کیسے ہونی ہے,where is the proof coming from? the entry is coming from the pending status so how is the proof coming from?,ur,1
WhatsApp Ptt 2026-06-02 at 1.27.17 AM.ogg,دیکھیں ہی آٹی میں مین پہ ہی لکھا ہے پینڈنگ دیپوزیٹ اگر اس کے اندر کو دیپوزیٹ آجائے گا تو وہ یہاں آجائے گا کہ یار کو پینڈنگ ہے تو وہ کلک ہو جائے جس طرح مین ساری چیزیں فنشن رہتے ہیں,"Pending Deposit is written on the main page of the Yati If there is a deposit inside the Yati, it will click on the pending page This is the main function of the Yati",ur,1
WhatsApp Ptt 2026-06-02 at 1.27.36 AM.ogg,اگر جس کا نام رکھوانا مرہا خیال ہے اس کا نام ہوگا user ID user name یا user ID,I think the actor's name will be the user ID.,ur,1
WhatsApp Ptt 2026-06-02 at 1.29.05 AM.ogg,بھائی وہ تمہن دیکھ لیا بھی یہ کارنے دونکھیں اپروٹ کر لیا اس کو مجھے سب سے مجھا ہنا ہے اس کی علامت سیدی کرو,I have seen that he has found a partner and has approved it. I have to make him understand it in the morning and align it with him.,ur,1
WhatsApp Ptt 2026-06-02 at 1.29.20 AM.ogg,ایک اٹر پوڑے ہیں، آسف اپلکنٹ ہے جو یہ آسف پوڑے ہوگا اس کو ستیدھفترہ کرو,I think the actor code is the user code,ur,1
WhatsApp Ptt 2026-06-02 at 1.29.55 AM.ogg,یہ نیچے اجنٹ E7P3D0 یہ اجنٹ کوڑ ہے تو پھر اوپر والا اجنسی کوڑ ہوگا ان دونوں کو سیدھا پدرہ کریں اس کے اگر وہ اجنسی کوڑ ہے تو اس کو لکھیں اجنسی کوڑ کی گا نا اور نیچے اگر یہ اجنٹ کوڑ ہے تو اجنٹ کوڑ لکھیں جو بھی سٹوری ہے اس کو بھی سیدھا کرنا ہے جب ٹائم ٹھٹ ہو,"this is agent E7P3D0, if this is an agent code then it will be the agency code on the top if it is an agency code then it should be written as agency code if this is an agent code then it should be written as agency code whatever the story is, it should be written as agency code when the time is set",ur,1
WhatsApp Ptt 2026-06-02 at 1.30.05 AM.ogg,جو بھی کرنا اس کو دیکھ لوں اور یہاں ٹیوی میں بھی دیکھ لوں میں آپ کو فوپہ بے دی ہے,Check this out and I have sent you the photo,ur,1
WhatsApp Ptt 2026-06-02 at 1.37.39 AM.ogg,اُس رہاں لاجر میں چیک ہی انٹری ہو نی چاہیے پہلے دو طریقوں وہ ایک بچکہ 10 منٹ پر سمیٹ ہوئی ہے اور پھر وہ اپروو ہوئی ہے پہلے وہ 0 0 آاری ہے اپرووڈ اور اپر پھر وہ اپروو ہو گئی ہے لاجر میں وہ پہلے پینڈنگ ہو نی چاہیے تھیں جب اپروو ہو گئی ہے تو اس کا ٹائم چینج ہو جائے وہ جو آپ نے ویسے ٹائم بنالتے ہیں کہ ایک اپروو ہوئی اس طرح اس کے ہوم پیچ پہ بھی مجھے دو دو انٹریہ آ رہی ہیں دیت ٹائم ایک سمیٹٹ کی اور ایک اپروو کی آ جائے گا ایک ٹائم یعنی کے یوزر نیم آ جائے گا رفرنس اس کا ٹائم ڈپوزیٹ آ جائے گا ڈیٹیل میں جو بھی سٹوری ہے ڈیبٹ ہے یا ڈیڈٹ ہے وہ دو اس کی انٹریہ ہونی ہے اس کا جو بیلنس ہے وہ آ جائے گا اور بیلنس آفٹر آ گیا یہ بیلنس before ڈیبٹ ہے بہت نہیں کیا ڈیبٹ ہے جب ایک دو اور انٹریہ کرکے دکھاؤ گے پھر ڈیبٹ میں جاگے لکھا ہے ڈیپوزیٹ ڈیبٹ یہ ڈیبٹ ہے یہ اتنی ڈیبٹ کی ضرورت نہیں ہے یہ میرے پر سمیٹ ڈیبٹ ہوں گا,"Second, there should be only one entry in the laser First two ways are submitted at 10 minutes And then it is approved First it is coming from 0 to 0 It is approved and then it is approved In the laser it should have been pending When it is approved then its time will change Yes, you have made a time When it is approved There are two entries on the homepage One is submitted and one is approved The actor or the user name will come The reference type will come In detail The story, the debit or the credit There are two entries The balance will come And the balance after The balance before the balance after I don't know what the story is When there are two more entries Then it is written on the end Deposit 2 This should be short I don't need so many stories I will make it for you in the morning",ur,1
WhatsApp Ptt 2026-06-02 at 2.00.21 AM.ogg,ایسا یہ جو آدمین پنل میں ڈپوڈیٹ کے اوپر ٹائم اور آرہے ہیں اور کلائنٹ ڈپوڈیٹ کے پنل میں جاگ دیکھیں تو آرہے ہیں,"In the admin panel, the time is increasing on the deposit and the client is increasing on the easy ticket panel.",ur,1
