claim_id	original_claim	classification	active_route_page	exact_active_file	line_range	rendered_consequence	evidence_command	correction_or_accurate_wording	future_fix_justified	recommended_severity
CLM-076	Next.js splitChunks code splitting	IRRELEVANT_REQUIREMENT	Results	frontend/flights/partials/results-page.blade.php	254-260	Standalone JS not Next bundle	rg "splitChunks" .	No Next.js on public frontend	no	None
CLM-077	No sitemap.xml	TRUE	All	public/	varies	missing	404 on /sitemap.xml per external fetch	rg "sitemap" routes; ls public/sitemap.xml	No sitemap file or route	yes	High
CLM-078	Footer year hardcoded	FALSE	All public pages	partials/footer.blade.php	41	date Y dynamic	rg "date('Y')" resources/views/themes/frontend/jetpakistan/partials/footer.blade.php	Year is dynamic	no	None
CLM-079	No theme-color meta	TRUE	All public pages	layouts/frontend.blade.php	12-29	No theme-color in head	rg "theme-color" resources/views/themes/frontend/jetpakistan	No theme-color meta	yes	Low
CLM-080	No manifest.json PWA	TRUE	All public pages	public/	varies	No manifest.json in public	rg "manifest.json" public	No web app manifest	yes	Low
CLM-081	No viewport-fit cover	TRUE	All public pages	layouts/frontend.blade.php	14	viewport without viewport-fit=cover	rg "viewport-fit" resources/views/themes/frontend/jetpakistan	viewport-fit=cover absent	yes	Low
CLM-082	No prefetch login register	TRUE	All public pages	layouts/frontend.blade.php	12-29	No link rel prefetch for auth routes	rg "prefetch" resources/views/themes/frontend/jetpakistan	No prefetch hints	yes	Low
CLM-083	Console hydration navigator.share errors	UNVERIFIED_BROWSER_RUNTIME	Results	frontend/flights/partials/results-page.blade.php	262+	Runtime console not verifiable statically	php artisan about	No hydration; console claims need browser	yes	Low
CLM-084	No aria-live fare updates home	TRUE	Home	sections/routes.blade.php	various	No aria-live on homepage fare sections	rg "aria-live" resources/views/themes/frontend/jetpakistan/sections	Home lacks fare update live region; results list has aria-live	yes	Low
CLM-085	Site non-functional without JavaScript executive summary	PARTLY_TRUE	Home; Results	search stack; results-page.blade.php	various	Auth lookup support work without JS; search/results heavily JS-dependent	rg "defer" public/themes/frontend/jetpakistan/js	Executive overstates: static forms work; flight search/results UX requires JS	yes	High
CLM-086	Search form missing action method	PARTLY_TRUE	Home	components/search/flights-panel.blade.php	10-16	GET form with action flights.results present	rg "client_route('flights.results')" resources/views/themes/frontend/jetpakistan/components/search/flights-panel.blade.php	Form has method get and action; report partially wrong	no	None
CLM-087	Production robots 26 bytes matches repo allow-all	UNVERIFIED_SERVER_CONFIG	All	public/robots.txt	1-2	26 byte file allows all	User-agent * Disallow empty	External fetch 26 bytes 200 may match repo robots allowing all	verify production robots matches repo	no	None
